Genre,B.Number,Opus,Date,Czech.Title,English.Title,Instrumentation,Remarks
Concertante,108,53,1880,Koncert pro housle a orchestr a moll,Violin Concerto in A minor,for violin and orchestra,2nd version of B. 96; revised 1882
Piano,109,_,1880,_ty_i l’stky do pam‡tn’ku,4 Album Leaves,for piano,
Piano,110,52,1880,_est klav’rn’ch skladeb,6 Piano Pieces,for piano,
Piano,111,56,1880,_est mazurek,6 Mazurkas,for piano,
Orchestral,112,60,1880,Symfonie _. 6 D dur,Symphony No. 6 in D major,for orchestra,
Vocal,113,_,1880,D_tsk‡ p’se_,Children's Song,for 2 voices unaccompanied,
Orchestral,114,53a/1,1880,Polka pro orchestr ãPra_sk_m akademik_mÒ,"Polka ""For Prague Students""",for orchestra,
Opera,115,14,1881,Balada Kr‡le Maty‡_e,Ballad of King Matthias,,"from 2nd version of King and Charcoal Burner, B. 42"
Piano,116,_,1881,Moderato A dur,Moderato in A major,for piano,
Piano,117,59,1881,Legendy,Legends,for piano 4-hands,
Vocal,118,_,1881,Na tej na_ej st_e_e ...,There on Our Roof ...,"for soprano, alto and piano",Moravian folk song
Orchestral,119,53a/2,1881,Kvap’k E dur,Gallop in E major,for orchestra,
Chamber music,120,_,1881,Kvartetn’ v_ta F dur,Quartet Movement in F major,"for 2 violins, viola and cello",
Chamber music,121,61,1881,Smy_cov_ kvartet _. 11 C dur,String Quartet No. 11 in C major,"for 2 violins, viola and cello",
Orchestral,122,59,1881,Legendy,Legends,for orchestra,orchestration of B. 117
Vocal,123,_,1881_1882,_est p’sn’ na slova Gustava Pflegra Moravsk_ho,6 Songs on Poems by Gustav Pfleger Moravsk_,for voice and piano,"Revision of Cypresses, B. 11"
Vocal,124,_,1881_1882,_ty_i p’sn_ na slova Gustava Pflegra Moravsk_ho,4 Songs on Poems by Gustav Pfleger Moravsk_,for voice and piano,"Revision of Cypresses, B. 11"
Orchestral,125,62,1881_1882,Josef Kajet‡n Tyl,Josef Kajet‡n Tyl,for orchestra,incidental music for the play by Franti_ek Ferdinand _amberk
Orchestral,125a,62,1882,"Domov m_j, p_edehra ke h_e F. F. _amberka",My Home,for orchestra,"overture to Josef Kajet‡n Tyl, B. 125"
Choral,126,63,1882,V p_’rod_,In Nature's Realm,,after poems by V’t_zslav H‡lek
Opera,127,64,1881_1882,Dimitrij,Dimitrij,,historical opera in 4 acts; libretto by Marie _ervinkov‡-Riegrov‡
Orchestral,127a,64,1882,"Dimitrij, p_edehra k ope_e",Overture to Dimitrij,for orchestra,overture to the opera B. 127
Vocal,128,3,1882,Dv_ ve_ern’ p’sn_,2 Evening Songs,for voice and orchestra,after poems by V’t_zslav H‡lek
Piano,128bis,_,1882,Ot‡zka,Question,for piano,
Piano,129,_,1883,Impromptu d moll,Impromptu in D minor,for piano,
Chamber music,130,65,1883,Klav’rn’ trio _. 3 f moll,Piano Trio No. 3 in F minor,"for violin, cello and piano",
Orchestral,131,66,1883,Scherzo capriccioso,Scherzo capriccioso,for orchestra,
Orchestral,132,67,1883,"Husitsk‡, dramatick‡ ouvertura",Hussite Overture,"for orchestra, for piano duet",
Piano,133,68,1883,Ze _umavy,From the Bohemian Forest,for piano 4-hands,6 pieces; orchestrated by Henk de Vlieger
Choral,134,30,1883,D_dicov_ b’l_ hory,The Heirs of the White Mountain,for chorus and orchestra,2nd revision of B. 37
Choral,135,69,1884,Svatebn’ ko_ile,The Specter's Bride,"for soprano, tenor, bass, chorus and orchestra",dramatic cantata
Piano,136,1-Dec,1884,Dumka c moll,Dumka in C minor,for piano,
Piano,137,2-Dec,1879,Furiant g moll,Furiant in G minor,for piano,
Piano,138,_,1884,Humoreska Fis dur,Humoresque in F_ major,for piano,
Chamber music,139,15/1,1884,Balada d moll pro housle a klav’r,Ballade in D minor,for violin and piano,
Vocal,140,_,1884,Ka_ena divok‡,The Wild Duck,for voice and piano,folk song; lost
Orchestral,141,70,1884_1885,Symfonie _. 7 d moll,Symphony No. 7 in D minor,for orchestra,
Vocal,142,_,1885,Dv_ p’sn_,2 Czech Folk Poems,for voice and piano,
Choral,143,_,1885,Hymna _esk_ho rolnictva,Hymn of the Czech Peasants,for chorus and orchestra,
Choral,144,71,1885_1886,Svat‡ Ludmila,Saint Ludmila,"for soprano, alto, 2 tenors, bass, chorus and orchestra",oratorio
Piano,145,72,1886,Slovansk_ tance 2. _ada,"Slavonic Dances, Series II",for piano 4-hands,
