Opus.Number,Burghauser.Catalog.Number,Composed.Year,Czech.Title,English.Title,Instrumentation,Premiere.Date,Premiere.Place,Premiere.Performers,Main .Key,Parts.Mvmts,Duration.mins,Genre,Notes
81,155,1887,KlavÍrnÍ kvintet _. 2 A dur,Piano Quintet No. 2 in A major,"for 2 violins, viola, cello and piano",,,,,,,Chamber Music,
0,156,1887,Dv_ perli_ky,2 Little Pearls,for piano,,,,,,,Piano,
82,157,1887,Vier Lieder,4 Songs on Poems by O. Malybrok-Stieler,for voice and piano,,,,,,,Vocal,
0,158,1888,LÍstek do pamˆtnÍku,Album Leaf,for piano,,,,,,,Piano,
84,159,1888,JakobÍn,The Jacobin,,,,,,,,Opera,
83,160,1888,PÍsn_ milostn_,Love Songs,for voice and piano,,,,,,,Vocal,
85,161,1889,Poetick_ nˆlady,Poetic Tone Poems,for piano,,,,,,,Piano,
87,162,1889,KlavÍrnÍ kvartet _. 2 Es dur,Piano Quartet No. 2 in E_ major,"for violin, viola, cello and piano",,,,,,,Chamber Music,
88,163,1889,Symfonie _. 8 G dur,Symphony No. 8 in G major,Orchestral,,,,,,,Orchestral,
0,164,1890,Gavotte,Gavotte,for 3 violins,,,,,,,Chamber Music,
89,165,1890,Requiem,Requiem,"for soprano, alto, tenor, bass, chorus and orchestra",,,,,,,Choral,
90,166,1890,KlavÍrnÍ trio _. 4 e moll ÜDumky–,"Piano Trio No. 4 in E minor ""Dumky""","for violin, cello and piano",,,,,,,Chamber Music,
0,167,1891,Fanfˆry,Fanfares,for 4 trumpets and timpani,,,,,,,Chamber Music,
91,168,1891,"V p_Írod_, koncertnÍ ouvertura",In Nature's Realm,Orchestral,,,,,,,Orchestral,
92,169,1891,"Karneval, koncertnÍ ouvertura",Carnival Overture,Orchestral,,,,,,,Orchestral,
46/2,170,1891,Slovansk_ tanec e moll pro housle a klavÍr,Slavonic Dance in E minor,for violin and piano,,,,,,,Chamber Music,
94,171,1891,Rondo g moll pro violoncello a klavÍr,Rondo in G minor,for cello and piano,,,,,,,Chamber Music,
